English source,Translation,Layer,Identifier,Limits,State,Reviewer notes
,,In-app,,,needs_review,
%1$@%2$@,%1$@%2$@,In-app,%@%@,,needs_review,
%1$@%2$@%3$@,%1$@%2$@%3$@,In-app,%@%@%@,,needs_review,
%lld,%lld,In-app,%lld,,needs_review,
%lld life remaining,%lld Leben übrig,In-app,%lld life remaining,,needs_review,
%lld lives remaining,%lld Leben übrig,In-app,%lld lives remaining,,needs_review,
0%,0%,In-app,0%,,needs_review,
100%,100%,In-app,100%,,needs_review,
Close,Schließen,In-app,Close,,needs_review,
Game Center is unavailable for this account.,Game Center ist für dieses Konto nicht verfügbar.,In-app,Game Center is unavailable for this account.,,needs_review,
Game Center leaderboard is available on iOS and tvOS.,Die Game-Center-Bestenliste ist auf iOS und tvOS verfügbar.,In-app,Game Center leaderboard is available on iOS and tvOS.,,needs_review,
Game Center leaderboard is not available on this device.,Die Game-Center-Bestenliste ist auf diesem Gerät nicht verfügbar.,In-app,Game Center leaderboard is not available on this device.,,needs_review,
Opens app rating prompt,Öffnet die App-Bewertungsaufforderung,In-app,Opens app rating prompt,,needs_review,
Screenshot capture ready,Screenshot-Aufnahme bereit,In-app,Screenshot capture ready,,needs_review,
Shows Game Center leaderboard,Zeigt die Game-Center-Bestenliste,In-app,Shows Game Center leaderboard,,needs_review,
Sign in to Game Center to view the leaderboard.,"Melde dich bei Game Center an, um die Bestenliste anzuzeigen.",In-app,Sign in to Game Center to view the leaderboard.,,needs_review,
Starts the game,Startet das Spiel,In-app,Starts the game,,needs_review,
Also Supporting,Unterstützen wir auch,In-app,about_also_supporting_header,,needs_review,
"10% of proceeds go to AMMEC, an association that promotes autonomy and social integration for people with physical disabilities, supporting families and fostering community.","10 % der Einnahmen gehen an AMMEC, einen Verein, der Autonomie und soziale Integration für Menschen mit körperlichen Behinderungen fördert, Familien unterstützt und Gemeinschaft stärkt.",In-app,about_ammec_footer,,needs_review,
AMMEC,AMMEC,In-app,about_ammec_title,,needs_review,
"App information, tips, and help","App-Infos, Tipps und Hilfe",In-app,about_app_subtitle,,needs_review,
RetroRapid!,RetroRapid!,In-app,about_app_title,,needs_review,
For being the coolest conference,Für die coolste Konferenz,In-app,about_arcticonference_subtitle,,needs_review,
ARCtic Conference,ARCtic Conference,In-app,about_arcticonference_title,,needs_review,
Let's connect!,Lass uns vernetzen!,In-app,about_connect_header,,needs_review,
Credits,Credits,In-app,about_credits_header,,needs_review,
Licensed under the SIL Open Font License 1.1,Lizenziert unter der SIL Open Font License 1.1,In-app,about_font_license,,needs_review,
Press Start 2P,Press Start 2P,In-app,about_font_press_start,,needs_review,
"Oulu, Finland","Oulu, Finnland",In-app,about_footer_location,,needs_review,
Released with love ❤️ from ARCtic,Mit Liebe ❤️ veröffentlicht aus ARCtic,In-app,about_footer_love,,needs_review,
Thanks to everyone that played the game and encouraged me to push the button.,"Danke an alle, die gespielt und mich ermutigt haben, den Knopf zu drücken.",In-app,about_footer_thanks,,needs_review,
Giving Back,Zurückgeben,In-app,about_giving_back_header,,needs_review,
A native app for managing App Store Connect,Eine native App für App Store Connect,In-app,about_helm_subtitle,,needs_review,
Shipped with Helm!,Shipped with Helm!,In-app,about_helm_title,,needs_review,
Accessibility up to 11!,Accessibility up to 11!,In-app,about_link_blog,,needs_review,
BlueSky,BlueSky,In-app,about_link_bluesky,,needs_review,
LinkedIn,LinkedIn,In-app,about_link_linkedin,,needs_review,
Mastodon,Mastodon,In-app,about_link_mastodon,,needs_review,
X (Twitter),X (Twitter),In-app,about_link_twitter,,needs_review,
Opens the App Store review page,Öffnet die App-Store-Bewertungsseite,In-app,about_rate_hint,,needs_review,
Rate RetroRapid!,Bewerte RetroRapid!,In-app,about_rate_title,,needs_review,
Swift for Swifts,Swift for Swifts,In-app,about_swift_for_swifts_title,,needs_review,
About,Info,In-app,about_title,,needs_review,
You completed a run using Digital Crown controls.,Du hast eine Runde mit Digital-Crown-Steuerung abgeschlossen.,In-app,achievement_achieved_control_crown,,needs_review,
You completed a run using Game Controller controls.,Du hast eine Runde mit Game-Controller-Steuerung abgeschlossen.,In-app,achievement_achieved_control_gamecontroller,,needs_review,
You completed a run using Keyboard controls.,Du hast eine Runde mit Tastatur-Steuerung abgeschlossen.,In-app,achievement_achieved_control_keyboard,,needs_review,
You completed a run using Swipe controls.,Du hast eine Runde mit Wisch-Steuerung abgeschlossen.,In-app,achievement_achieved_control_swipe,,needs_review,
You completed a run using Tap controls.,Du hast eine Runde mit Tipp-Steuerung abgeschlossen.,In-app,achievement_achieved_control_tap,,needs_review,
You completed a run using VoiceOver controls.,Du hast eine Runde mit VoiceOver-Steuerung abgeschlossen.,In-app,achievement_achieved_control_voiceover,,needs_review,
